Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
MARKET MIX SAS BOGOTA-JAIRO MACHADO-MOVIL PORTABILIDAD-R4,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R4 REGION CENTRO-JAIRO MACHADO-MOVIL PORTABILIDAD,R4,MARKET MIX SAS BOGOTA
MAS POR MENOS-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,MAS POR MENOS
MAX EVOLUTION-R4-TAT,COMERCIAL,PREPAGO,COM-TAT,R4 REGION CENTRO-TAT,R4,MAX EVOLUTION
MAX EVOLUTION-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,MAX EVOLUTION
MC MULTICELL SAS-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,MC MULTICELL SAS
MC MULTICELL SAS-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,MC MULTICELL SAS
MC MULTICELL SAS-R1-TAT,COMERCIAL,PREPAGO,COM-TAT,R1 REGION COSTA-TAT,R1,MC MULTICELL SAS
MEDIATEK COL-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,MEDIATEK COL
MEGAMAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MEGAMAS
MELTEC DE ORIENTE-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,MELTEC DE ORIENTE
MELTEC DE ORIENTE-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,MELTEC DE ORIENTE
MELTEC DE ORIENTE-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,MELTEC DE ORIENTE
MELTEC DE ORIENTE-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,MELTEC DE ORIENTE
MELTEC DE ORIENTE-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,MELTEC DE ORIENTE
MERCALDAS-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,MERCALDAS
MERCAMIO-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,MERCAMIO
MI RED MOVIL SAS-CALLE-R4-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R4 REGION CENTRO-CALLE,R4,MI RED MOVIL SAS
MI RED MOVIL SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,MI RED MOVIL SAS
MI RED MOVIL SAS-R4-TAT,COMERCIAL,PREPAGO,COM-TAT,R4 REGION CENTRO-TAT,R4,MI RED MOVIL SAS
MI RED MOVIL-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,MI RED MOVIL SAS
MILENIO-VENTAS-R4-CALL,CALL CENTER,SOPORTE,MASIVO SOPORTE,R4 REGION CENTRO - MASIVO SOPORTE,R4,MILENIO
MILENIUM -SOPORTE-R1-CALL,CALL CENTER,SOPORTE,MASIVO SOPORTE,R1 REGION COSTA - MASIVO SOPORTE,R1,MILLENIUM
MILLENIUM-MASIVO-R1-CALL,CALL CENTER,TRAFICO INBOUND,MASIVO SAC-TRAFICO INBOUND,R1 REGION COSTA-MASIVO-TRAFICO INBOUND,R1,MILLENIUM
MILLENIUM-VENTAS-R4-CALL,CALL CENTER,RELACIONES PRIORITARIAS,VENTAS,R4 REGION CENTRO-VENTAS,R4,MILLENIUM
MILLENIUM-WEBCENTER-R4-CALL,CALL CENTER,ENTORNOS DIGITALES,- WEBCENTER,R4 REGION CENTRO - WEBCENTER,R4,MILLENIUM
MOBILE COMERCIAL SAS-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,MOBILE COMERCIAL SAS
MOBITECH GROUP SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,MOBITECH GROUP SAS
MOVILCO SAS-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,MOVILCO SAS
MOVILCO SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,MOVILCO SAS
MOVILCO SAS-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,MOVILCO SAS
MOVILCO SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,MOVILCO SAS
MOVILCO SAS-R3-TAT,COMERCIAL,PREPAGO,COM-TAT,R3 REGION OCCIDENTE-TAT,R3,MOVILCO SAS
MOVILCO SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,MOVILCO SAS
MOVILCO SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,MOVILCO SAS
